,All,,,Asian,,,Black,,,Mixed,,,White,,,Other,,,Unknown,,
Time,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60,Section 1,Section 44/47A,Section 60
2009/10,"1,169,012","102,428","119,639","111,192","17,295","19,137","169,573","10,164","39,364","35,114","2,307","5,228","785,691","60,608","47,879","14,268","4,435","1,426","53,174","7,619","6,605"
2010/11,"1,220,248","9,722","62,344","125,828","1,787","12,420","185,806",964,"23,283","34,542",225,"2,772","806,568","5,550","19,571","16,898",473,"1,032","50,606",723,"3,266"
2011/12,"1,136,117",0,"46,882","115,842",0,"7,831","161,058",0,"16,791","32,831",0,"2,245","763,246",0,"16,238","14,830",0,763,"48,310",0,"3,014"
2012/13,"1,004,757",0,"5,340","91,709",0,539,"119,998",0,"1,921","28,463",0,227,"706,081",0,"2,187","12,245",0,79,"46,261",0,387
2013/14,"893,267",0,"3,896","73,243",0,361,"100,907",0,"1,126","24,355",0,186,"638,832",0,"1,846","11,558",0,51,"44,372",0,326
2014/15,"534,614",0,"1,055","42,214",0,82,"63,532",0,172,"15,313",0,39,"375,059",0,661,"7,361",0,13,"31,135",0,88
2015/16,"380,940",0,965,"35,513",0,88,"58,217",0,209,"12,374",0,16,"225,900",0,547,"5,465",0,11,"29,473",0,94
2016/17,"298,600",0,628,"29,010",0,25,"54,881",0,169,"10,484",0,16,"169,167",0,309,"4,379",0,7,"30,679",0,102
2017/18,"274,754",130,"2,494","28,504",16,272,"53,427",7,955,"10,338",4,127,"146,660",45,619,"4,624",1,36,"31,201",57,485
2018/19,"362,505",0,"13,083","39,645",0,"1,827","65,790",0,"4,858","12,372",0,642,"185,092",0,"2,669","6,243",0,214,"53,363",0,"2,873"